origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude,distancia_text,distancia_value,duracao_text_Google,duracao_value_Google,endereco_origem,endereco_destino
-25.517412,-49.321523,-29.747888,-57.083624,"1,125 km",1124975.0,15 hours 21 mins,55238.0,"Rua José Rodrigues Pinheiro, 2590 - Capão Raso, Curitiba - PR, 81170-200, Brazil","Av. Min. Assis Brasil, 4485 - Santo Inacio, Uruguaiana - RS, 97511-800, Brazil"
-23.538573,-46.755232,-23.425529,-46.487609,41.0 km,41022.0,43 mins,2554.0,"Av. Pres. Altíno, 1925 - Jaguaré, São Paulo - SP, 05323-002, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-22.875688,-47.124929,-23.008442,-47.144659,23.6 km,23574.0,23 mins,1381.0,"R. Osvaldo Blum, 75 - Parque Via Norte, Campinas - SP, 13065-710, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-19.706232,-47.979743,-23.922908,-46.353124,565 km,564562.0,6 hours 52 mins,24696.0,"Av. Cel. Zacarias Borges de Araújo, 532 - Distrito Industrial I, Uberaba - MG, 38064-700, Brazil","Brasil Terminal Portuário - Av. Eng. Augusto Barata, s/n - Porto Alemoa, Santos - SP, Brazil"
-23.747239,-46.559391,-23.008442,-47.144659,126 km,125668.0,1 hour 48 mins,6470.0,"Av. Nicola Demarchi, 1500 - Parque Botujuru, São Bernardo do Campo - SP, 09820-655, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-29.894283,-51.173923,-25.511146,-54.565616,888 km,888074.0,12 hours 42 mins,45748.0,"Av. Armando Fajardo, 11 - Igara, Canoas - RS, 92410-040, Brazil","Rua Edgard Schimmelpfeng, 640 - Imóvel Acaraizinho, Foz do Iguaçu - PR, 85863-640, Brazil"
-23.494815,-46.843764,-23.008442,-47.144659,90.6 km,90574.0,1 hour 8 mins,4099.0,"Alameda Amazonas, 330 - Alphaville Industrial, Barueri - SP, 06454-070, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-29.894283,-51.173923,-32.030602,-52.094417,330 km,329962.0,4 hours 16 mins,15373.0,"Av. Armando Fajardo, 11 - Igara, Canoas - RS, 92410-040, Brazil","R. Ewbank, 35 - Centro, Rio Grande - RS, 96200-080, Brazil"
-19.947702,-44.160691,-23.926389,-46.341944,622 km,622431.0,8 hours 13 mins,29550.0,"Av. Campo de Ourique, 1603 - Jardim Alterosa, Betim - MG, 32670-704, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-19.375669,-43.57543,-23.008442,-47.144659,702 km,702367.0,9 hours 18 mins,33452.0,"Jaboticatubas, MG, 35830-000, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-23.494815,-46.843764,-23.924656,-46.345949,93.8 km,93845.0,1 hour 29 mins,5348.0,"Alameda Amazonas, 330 - Alphaville Industrial, Barueri - SP, 06454-070, Brazil","Av. Eng. Antônio Alves Freire, 85 - Alemoa, Santos - SP, 11010-270, Brazil"
-23.262304,-45.950952,-23.962603,-46.297071,162 km,161771.0,2 hours 14 mins,8030.0,"Avenida Getúlio Dorneles Vargas, 3071-3091 - Chacaras Rurais Santa Maria, Jacareí - SP, 12305, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-25.517412,-49.321523,-23.926389,-46.341944,427 km,426583.0,5 hours 34 mins,20060.0,"Rua José Rodrigues Pinheiro, 2590 - Capão Raso, Curitiba - PR, 81170-200, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-23.223612,-45.861625,-23.008442,-47.144659,182 km,182046.0,2 hours 19 mins,8341.0,"R. Dra. Tânia Lis Tizzoni Nogueira, snº - Campus do CTA, São José dos Campos - SP, 12227-000, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-29.78823,-52.407895,-29.989934,-51.176718,162 km,161927.0,2 hours 12 mins,7935.0,"Avenida Felisberto Bandeira de Morais - JTI Kannenberg - Santa Cruz do Sul, RS, 96640-000, Brazil","Avenida Severo Dulius - Anchieta, Porto Alegre - RS, 90200-310, Brazil"
-22.842349,-47.150053,-23.922908,-46.353124,183 km,183325.0,2 hours 29 mins,8911.0,"Av. Comendador Aladino Selmi, 5216 - Vila San Martin, Campinas - SP, 13069-096, Brazil","Brasil Terminal Portuário - Av. Eng. Augusto Barata, s/n - Porto Alemoa, Santos - SP, Brazil"
-23.613097,-46.545183,-23.962603,-46.297071,68.9 km,68878.0,1 hour 23 mins,4975.0,"Av. Prosperidade, 300 - Prosperidade, São Caetano do Sul - SP, 09220-590, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-12.642467,-38.306291,-12.9708,-38.5139,56.5 km,56514.0,52 mins,3126.0,"Via de Ligação, 109 - Parque Petropolis, Dias d'Ávila - BA, 42850-000, Brazil","Av. da França, 1553 - Comercio, Salvador - BA, 40010-000, Brasil, Salvador - BA, 40301-155, Brazil"
-23.223612,-45.861625,-23.425529,-46.487609,92.1 km,92056.0,1 hour 14 mins,4424.0,"R. Dra. Tânia Lis Tizzoni Nogueira, snº - Campus do CTA, São José dos Campos - SP, 12227-000, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
